transaction_id,account_id,amount,transaction_type,hour
T001,A100,250,Debit,13
T002,A102,12500,Credit,2
T003,A102,11800,Debit,3
T004,A105,300,Debit,15
T005,A102,14250,Credit,14
T006,A105,10100,Debit,4
T007,A105,9800,Credit,3
T008,A108,450,Debit,9
T009,A102,11300,Debit,2
T010,A110,22000,Credit,1
T011,A110,450,Debit,3
T012,A111,760,Debit,11
T013,A112,15000,Credit,4
T014,A113,90,Debit,16
T015,A110,12550,Debit,2
T016,A114,540,Credit,8
T017,A102,350,Debit,10
T018,A112,11200,Debit,14
T019,A115,9700,Credit,4
T020,A110,10800,Credit,3
